id,nama_kecamatan
3205010,CISEWU
3205011,CARINGIN
3205020,TALEGONG
3205030,BUNGBULANG
3205031,MEKARMUKTI
3205040,PAMULIHAN
3205050,PAKENJENG
3205060,CIKELET
3205070,PAMEUNGPEUK
3205080,CIBALONG
3205090,CISOMPET
3205100,PEUNDEUY
3205110,SINGAJAYA
3205111,CIHURIP
3205120,CIKAJANG
3205130,BANJARWANGI
3205140,CILAWU
3205150,BAYONGBONG
3205151,CIGEDUG
3205160,CISURUPAN
3205161,SUKARESMI
3205170,SAMARANG
3205171,PASIRWANGI
3205181,TAROGONG KIDUL
3205182,TAROGONG KALER
3205190,GARUT KOTA
3205200,KARANGPAWITAN
3205210,WANARAJA
3205211,SUCINARAJA
3205212,PANGATIKAN
3205220,SUKAWENING
3205221,KARANGTENGAH
3205230,BANYURESMI
3205240,LELES
3205250,LEUWIGOONG
3205260,CIBATU
3205261,KERSAMANAH
3205270,CIBIUK
3205280,KADUNGORA
3205290,BLUBUR LIMBANGAN
3205300,SELAAWI
3205310,MALANGBONG
